Region	Chromosome	Start	End	Genes	Max_Fst	Max_Zscore	Max_position
1	NC_009144.3	54276000	54302000	['INTERGENIC_REGION']	0.75550636	3.8404688794414628	54296000
2	NC_009144.3	73870000	73872000	['INTERGENIC_REGION']	0.72943596	3.5645397305046034	73872000
3	NC_009144.3	78388000	78423000	['INTERGENIC_REGION']	0.76636244	3.9553696448762254	78406000
4	NC_009144.3	79307000	79383000	['INTERGENIC_REGION']	0.83455258	4.67709417906386	79342000
5	NC_009144.3	81070000	81122000	['INTERGENIC_REGION']	0.86110321	4.958106082971641	81110000
6	NC_009144.3	139829000	139871000	['LYSMD2', 'INTERGENIC_REGION', 'SCG3']	0.77154766	4.01025002038448	139846000
7	NC_009144.3	162163000	162172000	['INTERGENIC_REGION']	0.75775953	3.8643164337754983	162164000
8	NC_009144.3	169103000	169108000	['INTERGENIC_REGION']	0.73311465	3.6034749904508474	169107000
9	NC_009144.3	169110000	169110000	['LOC111769255']	0.72585829	3.526673666375288	169110000
10	NC_009144.3	178074000	178075000	['LOC111769255']	0.72909296	3.560909418039688	178075000
11	NC_009144.3	178077000	178101000	['LOC111769255', 'INTERGENIC_REGION']	0.74014759	3.677911636943573	178092000
12	NC_009144.3	179275000	179279000	['INTERGENIC_REGION']	0.73103353	3.5814484135500138	179278000
13	NC_009144.3	181993000	182015000	['INTERGENIC_REGION', 'LOC102149849']	0.7718908	4.0138818146095865	182002000
14	NC_009145.3	231000	262000	['INTERGENIC_REGION']	0.84869043	4.826729202626866	246000
15	NC_009145.3	4872000	4909000	['INTERGENIC_REGION', 'PARS2', 'TTC4']	0.76817428	3.9745461618920666	4891000
16	NC_009145.3	11681000	11695000	['LOC100064176', 'INTERGENIC_REGION', 'LOC100630164']	0.77621716	4.059672014713707	11690000
17	NC_009145.3	53956000	54005000	['INTERGENIC_REGION']	0.80595482	4.374415448461316	53963000
18	NC_009145.3	54380000	54403000	['KCTD9']	0.73957817	3.67188489489176	54400000
19	NC_009145.3	91319000	91319000	['LOC111772552']	0.72981898	3.568593614703764	91319000
20	NC_009145.3	91387000	91395000	['LOC111772552']	0.74558355	3.7354458449516903	91387000
21	NC_009146.3	5256000	5267000	['TOX3']	0.74733162	3.7539474202010936	5263000
22	NC_009146.3	5801000	5832000	['INTERGENIC_REGION', 'LOC111772750']	0.75772941	3.863997643654674	5820000
23	NC_009146.3	45478000	45484000	['INTERGENIC_REGION']	0.73647699	3.6390620015682966	45483000
24	NC_009146.3	52715000	52755000	['MAPK10']	0.79563075	4.2651454775876605	52742000
25	NC_009146.3	76356000	76387000	['INTERGENIC_REGION']	0.77961048	4.095586918193148	76372000
26	NC_009146.3	83393000	83441000	['GABRB1']	0.82221632	4.546527186502802	83402000
27	NC_009146.3	98544000	98583000	['INTERGENIC_REGION']	0.83998404	4.734580759065878	98553000
28	NC_009146.3	102621000	102674000	['PPARGC1A']	0.81388026	4.4582983161637735	102638000
29	NC_009146.3	107099000	107114000	['INTERGENIC_REGION']	0.77566673	4.053846262847632	107102000
30	NC_009146.3	113695000	113695000	['CLNK']	0.72463548	3.513731443677842	113695000
31	NC_009146.3	113697000	113698000	['CLNK']	0.72777647	3.5469756860952653	113697000
32	NC_009146.3	113816000	113816000	['LOC111772967']	0.72553164	3.523216402332533	113816000
33	NC_009146.3	113825000	113856000	['LOC111772967']	0.79498492	4.258310011992276	113854000
34	NC_009146.3	116721000	116751000	['INTERGENIC_REGION']	0.74655212	3.7456971911445294	116743000
35	NC_009146.3	116763000	116763000	['LOC111772724']	0.72396809	3.5066677870132343	116763000
36	NC_009146.3	116765000	116766000	['INTERGENIC_REGION']	0.72415819	3.508679805670904	116765000
37	NC_009147.3	21289000	21308000	['INTERGENIC_REGION']	0.75444638	3.829250049684724	21298000
38	NC_009147.3	21860000	21910000	['INTERGENIC_REGION']	0.78178072	4.1185567412947774	21903000
39	NC_009147.3	30899000	30918000	['INTERGENIC_REGION']	0.76372133	3.9274161330563606	30904000
40	NC_009147.3	31490000	31537000	['INTERGENIC_REGION', 'DMTF1']	0.78129061	4.113369416390463	31520000
41	NC_009147.3	32777000	32822000	['INTERGENIC_REGION']	0.82719777	4.599250860054858	32806000
42	NC_009147.3	34418000	34422000	['INTERGENIC_REGION']	0.72994782	3.5699572574383995	34421000
43	NC_009147.3	34677000	34690000	['CDK14']	0.75144037	3.7974344357702576	34684000
44	NC_009147.3	34711000	34711000	['INTERGENIC_REGION']	0.72378031	3.50468032323871	34711000
45	NC_009147.3	35737000	35765000	['INTERGENIC_REGION', 'AKAP9']	0.75738166	3.860317057183319	35757000
46	NC_009147.3	37503000	37520000	['INTERGENIC_REGION']	0.73617691	3.635885954441556	37514000
47	NC_009147.3	37524000	37527000	['INTERGENIC_REGION']	0.72792104	3.5485058151712208	37524000
