Region	Chromosome	Start	End	Genes	Max_Fst	Max_Zscore	Max_position
1	NW_011590991.1	1194500	1227500	['GFM1', 'INTERGENIC_REGION', 'MLF1']	0.47242286	12.267482060428716	1211500
2	NW_011591013.1	450500	477500	['ZNF407']	0.46790072	12.087837299496384	465500
3	NW_011591013.1	540500	586500	['ZNF407', 'INTERGENIC_REGION', 'LOC105105093', 'CNDP1']	0.54621461	15.198904194093044	567500
4	NW_011591018.1	6538500	6560500	['QSER1', 'INTERGENIC_REGION']	0.35296615	7.521991626759357	6554500
5	NW_011591038.1	1572500	1595500	['INTERGENIC_REGION', 'ZNF782']	0.40058903	9.413839489167287	1573500
6	NW_011591040.1	1543500	1547500	['INTERGENIC_REGION']	0.31797052	6.13176894788906	1547500
7	NW_011591040.1	1549500	1556500	['INTERGENIC_REGION']	0.33303801	6.7303341490770805	1553500
8	NW_011591074.1	19494500	19516500	['INTERGENIC_REGION']	0.35312234	7.5281963694718845	19503500
9	NW_011591074.1	19518500	19519500	['INTERGENIC_REGION']	0.319601	6.196540757210523	19518500
10	NW_011591074.1	19521500	19523500	['INTERGENIC_REGION']	0.3268253	6.483530467038943	19522500
11	NW_011591074.1	19525500	19577500	['INTERGENIC_REGION']	0.37835993	8.530774976515973	19538500
12	NW_011591074.1	19585500	19684500	['INTERGENIC_REGION']	0.46865998	12.117999364621625	19614500
13	NW_011591074.1	21567500	21622500	['INTERGENIC_REGION']	0.46875928	12.121944117495394	21585500
14	NW_011591098.1	876500	918500	['INTERGENIC_REGION', 'LOC105086721']	0.50268612	13.469708463798176	895500
15	NW_011591098.1	924500	958500	['INTERGENIC_REGION']	0.48003387	12.569834060124352	947500
16	NW_011591100.1	13510500	13583500	['INTERGENIC_REGION']	0.50497831	13.560767105185109	13553500
17	NW_011591100.1	13624500	13665500	['INTERGENIC_REGION', 'LOC105086822']	0.37745001	8.494627851290403	13648500
18	NW_011591105.1	3839500	3866500	['INTERGENIC_REGION']	0.43816266	10.906474785445175	3857500
19	NW_011591187.1	1712500	1855500	['ABCD2', 'INTERGENIC_REGION', 'LOC105089279', 'SLC2A13']	0.63886715	18.87958267774765	1733500
20	NW_011591255.1	1454500	1583500	['VPS36', 'INTERGENIC_REGION', 'THSD1', 'LOC105090999', 'SLC25A15']	0.45983506	11.767424052126438	1488500
21	NW_011591255.1	2403500	2424500	['INTERGENIC_REGION', 'LHFP']	0.33300171	6.7288921095069085	2416500
22	NW_011591255.1	2426500	2426500	['LHFP']	0.31569854	6.041513161039683	2426500
23	NW_011591255.1	2486500	2487500	['LHFP']	0.31899436	6.172441614377263	2487500
24	NW_011591274.1	494500	494500	['INTERGENIC_REGION']	0.31680835	6.0856010380470975	494500
25	NW_011591275.1	5589500	5639500	['INTERGENIC_REGION', 'LGALS3', 'DLGAP5']	0.40824701	9.718057400670386	5611500
