Region	Chromosome	Start	End	Genes	Max_Fst	Max_Zscore	Max_position
1	NW_011590991.1	1197500	1227500	['GFM1', 'INTERGENIC_REGION', 'MLF1']	0.50398318	11.569687112888005	1211500
2	NW_011591013.1	451500	477500	['ZNF407']	0.49120024	11.082031854862723	465500
3	NW_011591013.1	540500	585500	['ZNF407', 'INTERGENIC_REGION', 'LOC105105093', 'CNDP1']	0.57630719	14.328769433384965	567500
4	NW_011591018.1	6536500	6560500	['QSER1', 'INTERGENIC_REGION']	0.39962843	7.588666898648228	6552500
5	NW_011591038.1	1572500	1595500	['INTERGENIC_REGION', 'ZNF782']	0.42629751	8.606063294836977	1573500
6	NW_011591040.1	1551500	1556500	['INTERGENIC_REGION']	0.37150612	6.515831358520753	1553500
7	NW_011591074.1	19494500	19516500	['INTERGENIC_REGION']	0.395491	7.430828444097743	19503500
8	NW_011591074.1	19518500	19518500	['INTERGENIC_REGION']	0.35859793	6.0233979492198095	19518500
9	NW_011591074.1	19521500	19523500	['INTERGENIC_REGION']	0.36450924	6.248907996463827	19522500
10	NW_011591074.1	19529500	19576500	['INTERGENIC_REGION']	0.41623776	8.222294773517165	19560500
11	NW_011591074.1	19585500	19685500	['INTERGENIC_REGION']	0.50769824	11.711412611316335	19614500
12	NW_011591074.1	21567500	21622500	['INTERGENIC_REGION']	0.49704179	11.304880633979074	21585500
13	NW_011591098.1	876500	917500	['INTERGENIC_REGION', 'LOC105086721']	0.51641293	12.043868556549619	895500
14	NW_011591098.1	925500	957500	['INTERGENIC_REGION']	0.49505384	11.229042503612249	947500
15	NW_011591100.1	13509500	13583500	['INTERGENIC_REGION']	0.53444518	12.731779281823027	13553500
16	NW_011591100.1	13624500	13660500	['INTERGENIC_REGION', 'LOC105086822']	0.41362783	8.122728782627906	13648500
17	NW_011591105.1	3840500	3866500	['INTERGENIC_REGION']	0.45145313	9.56572283809432	3860500
18	NW_011591187.1	1712500	1855500	['ABCD2', 'INTERGENIC_REGION', 'LOC105089279', 'SLC2A13']	0.65145938	17.195743744898227	1733500
19	NW_011591255.1	1454500	1580500	['VPS36', 'INTERGENIC_REGION', 'THSD1', 'LOC105090999', 'SLC25A15']	0.48148318	10.711336584326585	1488500
20	NW_011591255.1	2415500	2419500	['LHFP']	0.3596675	6.064200881434628	2417500
21	NW_011591255.1	2487500	2487500	['INTERGENIC_REGION']	0.3611858	6.122122375101952	2487500
22	NW_011591275.1	5589500	5639500	['INTERGENIC_REGION', 'LGALS3', 'DLGAP5']	0.44765081	9.420668465571671	5610500
23	NW_011591275.1	5642500	5642500	['LOC105091473']	0.36513238	6.272680109724615	5642500
24	NW_011591275.1	5644500	5667500	['LOC105091473']	0.38404785	6.994284717390738	5645500
25	NW_011591336.1	309500	366500	['INTERGENIC_REGION', 'LOC105092694']	0.49199629	11.112400296563225	342500
26	NW_011591336.1	368500	393500	['LOC105092694']	0.3805429	6.860574686942679	387500
27	NW_011591373.1	105500	129500	['INTERGENIC_REGION']	0.40494097	7.791334521626171	114500
28	NW_011591373.1	184500	201500	['INTERGENIC_REGION']	0.3713988	6.511737217244077	192500
29	NW_011591373.1	217500	240500	['INTERGENIC_REGION']	0.3922222	7.306127279308343	240500
30	NW_011591373.1	517500	518500	['INTERGENIC_REGION']	0.36041062	6.092550101202832	518500
31	NW_011591373.1	625500	630500	['INTERGENIC_REGION']	0.36341856	6.207299740708656	628500
32	NW_011591373.1	633500	641500	['INTERGENIC_REGION']	0.40370363	7.744131346381271	638500
33	NW_011591374.1	526500	573500	['INTERGENIC_REGION']	0.39582993	7.443758254970869	546500
34	NW_011591374.1	583500	614500	['INTERGENIC_REGION']	0.41083114	8.016038100862463	604500
35	NW_011591382.1	1872500	1955500	['PDE5A', 'INTERGENIC_REGION']	0.49349298	11.169497392234009	1893500
36	NW_011591382.1	1957500	1957500	['INTERGENIC_REGION']	0.36308571	6.194601875222803	1957500
37	NW_011591382.1	1961500	2013500	['INTERGENIC_REGION']	0.47708729	10.543638161882235	2000500
38	NW_011591382.1	2134500	2172500	['INTERGENIC_REGION', 'LOC105093680']	0.51689622	12.062305544413993	2150500
39	NW_011591407.1	8142500	8142500	['INTERGENIC_REGION']	0.36147837	6.133283602397119	8142500
40	NW_011591440.1	105500	109500	['INTERGENIC_REGION']	0.36091458	6.1117756270861126	109500
41	NW_011591440.1	118500	119500	['INTERGENIC_REGION']	0.36062924	6.100890216427459	118500
42	NW_011591442.1	1790500	1793500	['INTERGENIC_REGION']	0.37166686	6.5219634146967955	1791500
43	NW_011591442.1	1801500	1802500	['LCMT1']	0.3618393	6.147052689342615	1801500
44	NW_011591442.1	1804500	1805500	['LCMT1']	0.36424092	6.238671880293891	1804500
45	NW_011591442.1	1808500	1808500	['LCMT1']	0.36097588	6.114114155415037	1808500
46	NW_011591442.1	1810500	1810500	['LCMT1']	0.35833387	6.013324347416612	1810500
47	NW_011591442.1	1819500	1820500	['LCMT1']	0.36780297	6.374560213638878	1819500
48	NW_011591442.1	1823500	1823500	['INTERGENIC_REGION']	0.35810904	6.004747327446103	1823500
49	NW_011591442.1	2107500	2186500	['INTERGENIC_REGION']	0.556252	13.56368574730053	2167500
50	NW_011591442.1	2189500	2271500	['INTERGENIC_REGION']	0.52989383	12.558150229460008	2219500
51	NW_011591442.1	2312500	2338500	['INTERGENIC_REGION']	0.47134912	10.324733217327779	2322500
52	NW_011591442.1	2361500	2449500	['INTERGENIC_REGION']	0.57725502	14.364928117006581	2418500
53	NW_011591446.1	1549500	1556500	['INTERGENIC_REGION']	0.37618838	6.69445448500351	1550500
54	NW_011591446.1	1558500	1560500	['INTERGENIC_REGION']	0.36300219	6.1914156780607845	1558500
55	NW_011591446.1	1576500	1650500	['INTERGENIC_REGION', 'LOC105094959']	0.49579621	11.257363111696165	1623500
56	NW_011591446.1	1652500	1652500	['INTERGENIC_REGION']	0.35991963	6.073819366713126	1652500
57	NW_011591446.1	1654500	1672500	['INTERGENIC_REGION']	0.39752818	7.508544645421067	1660500
58	NW_011591446.1	1675500	1675500	['INTERGENIC_REGION']	0.35818098	6.007491760202756	1675500
59	NW_011591485.1	361500	416500	['INTERGENIC_REGION', 'ATRX']	0.45377764	9.654400366411934	402500
60	NW_011591485.1	422500	422500	['INTERGENIC_REGION']	0.35946928	6.056639004022563	422500
61	NW_011591539.1	220500	239500	['INTERGENIC_REGION', 'LOC105096276']	0.37479181	6.6411768584402635	232500
62	NW_011591594.1	1512500	1544500	['INTERGENIC_REGION', 'MRPL15', 'LOC105097063', 'LYPLA1']	0.5523208	13.413714742950278	1529500
63	NW_011591685.1	2455500	2479500	['INTERGENIC_REGION', 'LCORL']	0.45252413	9.606580323253846	2477500
64	NW_011591749.1	2199500	2244500	['SWT1']	0.5364638	12.808787439332573	2225500
65	NW_011591752.1	258500	264500	['INTERGENIC_REGION']	0.36706548	6.346425772247376	262500
66	NW_011591789.1	1089500	1112500	['PWWP2A', 'INTERGENIC_REGION']	0.42981209	8.74014069931126	1090500
67	NW_011591854.1	118500	133500	['INTERGENIC_REGION']	0.3726004	6.557576950360496	126500
68	NW_011591890.1	1078500	1087500	['MPRIP']	0.38578742	7.060647420900497	1083500
69	NW_011591890.1	1089500	1089500	['INTERGENIC_REGION']	0.35834598	6.013786330745541	1089500
70	NW_011591890.1	1099500	1099500	['SLC43A3']	0.35954411	6.059493687135997	1099500
71	NW_011591947.1	485500	491500	['INTERGENIC_REGION']	0.36657485	6.327708771366129	485500
72	NW_011592079.1	17500	18500	['LOC105102021']	0.36587055	6.300840492376538	17500
